0,0.0501483,0.00169776
0.01,0.0504214,0.00338965
0.02,0.0508789,0.00506935
0.03,0.051524,0.00672967
0.04,0.0523608,0.00836208
0.05,0.0533941,0.00995643
0.06,0.0546289,0.0115006
0.07,0.05607,0.0129805
0.08,0.0577214,0.0143794
0.09,0.0595855,0.0156788
0.1,0.0616629,0.016858
0.11,0.0639518,0.0178945
0.12,0.0664473,0.0187645
0.13,0.069141,0.0194435
0.14,0.0720211,0.0199067
0.15,0.0750717,0.0201301
0.16,0.0782734,0.0200908
0.17,0.081603,0.0197679
0.18,0.0850342,0.0191434
0.19,0.0885379,0.0182023
0.2,0.0920827,0.0169335
0.21,0.0956356,0.0153298
0.22,0.0991631,0.0133884
0.23,0.102631,0.0111106
0.24,0.106006,0.00850211
0.25,0.109257,0.00557255
0.26,0.112352,0.00233524
0.27,0.115264,-0.00119321
0.28,0.117966,-0.00499334
0.29,0.120436,-0.00904333
0.3,0.122655,-0.0133195
0.31,0.124607,-0.0177969
0.32,0.126276,-0.0224495
0.33,0.127655,-0.0272511
0.34,0.128735,-0.0321752
0.35,0.129511,-0.0371959
0.36,0.129984,-0.0422878
0.37,0.130152,-0.0474264
0.38,0.130019,-0.0525884
0.39,0.12959,-0.0577515
0.4,0.128871,-0.0628953
0.41,0.127869,-0.0680003
0.42,0.126595,-0.0730489
0.43,0.125057,-0.0780248
0.44,0.123267,-0.0829134
0.45,0.121235,-0.0877015
0.46,0.118973,-0.0923772
0.47,0.116494,-0.0969301
0.48,0.113808,-0.101351
0.49,0.110928,-0.105632
0.5,0.107866,-0.109767
0.51,0.104633,-0.113748
0.52,0.101241,-0.117573
0.53,0.0977001,-0.121236
0.54,0.0940218,-0.124735
0.55,0.090216,-0.128067
0.56,0.0862928,-0.13123
0.57,0.0822617,-0.134222
0.58,0.0781316,-0.137044
0.59,0.0739112,-0.139693
0.6,0.0696087,-0.142171
0.61,0.065232,-0.144478
0.62,0.0607884,-0.146613
0.63,0.056285,-0.148578
0.64,0.0517283,-0.150372
0.65,0.0471248,-0.151998
0.66,0.0424804,-0.153455
0.67,0.0378007,-0.154746
0.68,0.0330913,-0.15587
0.69,0.0283573,-0.156829
0.7,0.0236036,-0.157624
0.71,0.018835,-0.158256
0.72,0.0140561,-0.158726
0.73,0.00927139,-0.159034
0.74,0.0044851,-0.159181
0.75,-0.000298482,-0.159168
0.76,-0.00507518,-0.158996
0.77,-0.00984084,-0.158664
0.78,-0.0145913,-0.158174
0.79,-0.0193225,-0.157525
0.8,-0.0240302,-0.156718
0.81,-0.02871,-0.155754
0.82,-0.0333578,-0.154631
0.83,-0.0379689,-0.15335
0.84,-0.0425388,-0.151912
0.85,-0.0470627,-0.150315
0.86,-0.0515357,-0.148561
0.87,-0.0559525,-0.146648
0.88,-0.0603077,-0.144578
0.89,-0.0645957,-0.142349
0.9,-0.0688105,-0.139962
0.91,-0.0729459,-0.137418
0.92,-0.0769954,-0.134717
0.93,-0.0809521,-0.131859
0.94,-0.0848088,-0.128845
0.95,-0.088558,-0.125677
0.96,-0.0921918,-0.122356
0.97,-0.0957021,-0.118883
0.98,-0.0990803,-0.115262
0.99,-0.102318,-0.111495
1,-0.105405,-0.107586
1.01,-0.108332,-0.103538
1.02,-0.11109,-0.0993562
1.03,-0.11367,-0.0950464
1.04,-0.116059,-0.0906148
1.05,-0.11825,-0.0860688
1.06,-0.12023,-0.0814168
1.07,-0.121991,-0.0766681
1.08,-0.123523,-0.0718331
1.09,-0.124815,-0.0669237
1.1,-0.125858,-0.0619526
1.11,-0.126644,-0.0569342
1.12,-0.127165,-0.0518839
1.13,-0.127413,-0.0468184
1.14,-0.127383,-0.0417559
1.15,-0.12707,-0.0367157
1.16,-0.126471,-0.0317181
1.17,-0.125585,-0.0267848
1.18,-0.124411,-0.0219382
1.19,-0.122952,-0.0172014
1.2,-0.121214,-0.0125982
1.21,-0.119204,-0.00815264
1.22,-0.116932,-0.00388854
1.23,-0.114411,0.000170527
1.24,-0.111656,0.00400181
1.25,-0.108686,0.00758375
